"Date","Price","Open","High","Low","Vol.","Change %"
"07/07/2022","0.34258","0.33246","0.34543","0.32697","77.73M","3.08%"
"07/06/2022","0.33235","0.32520","0.33397","0.32006","98.99M","2.19%"
"07/05/2022","0.32523","0.32862","0.33084","0.31308","96.66M","-1.01%"
"07/04/2022","0.32856","0.32149","0.32972","0.31489","47.86M","2.21%"
"07/03/2022","0.32147","0.31570","0.32562","0.30903","25.06M","1.82%"
"07/02/2022","0.31572","0.31394","0.31794","0.30962","32.94M","0.60%"
"07/01/2022","0.31383","0.33203","0.33580","0.30996","60.41M","-5.53%"
"06/30/2022","0.33219","0.32956","0.33287","0.30606","97.62M","0.85%"
"06/29/2022","0.32940","0.33734","0.34164","0.32067","78.76M","-2.39%"
"06/28/2022","0.33745","0.35373","0.35568","0.33540","56.40M","-4.56%"
"06/27/2022","0.35357","0.35917","0.36690","0.34839","32.88M","-1.56%"
"06/26/2022","0.35919","0.36769","0.37487","0.35777","24.25M","-2.31%"
"06/25/2022","0.36769","0.36714","0.37405","0.35420","29.27M","0.16%"
"06/24/2022","0.36711","0.33564","0.38635","0.33503","84.85M","9.36%"
"06/23/2022","0.33568","0.32250","0.33691","0.32147","54.79M","4.11%"
"06/22/2022","0.32243","0.32950","0.32964","0.31903","69.23M","-2.07%"
"06/21/2022","0.32925","0.32257","0.33730","0.31883","70.87M","2.08%"
"06/20/2022","0.32253","0.32629","0.32871","0.31358","41.05M","-1.13%"
"06/19/2022","0.32620","0.30745","0.33235","0.29828","43.48M","6.09%"
"06/18/2022","0.30748","0.32098","0.32617","0.28757","64.57M","-4.22%"
"06/17/2022","0.32104","0.31313","0.33941","0.31040","59.99M","2.56%"
"06/16/2022","0.31303","0.34364","0.34721","0.30721","63.83M","-8.85%"
"06/15/2022","0.34342","0.32133","0.34679","0.29867","102.47M","6.90%"
"06/14/2022","0.32125","0.31145","0.32615","0.29375","78.61M","3.08%"
"06/13/2022","0.31164","0.34307","0.35046","0.30108","106.44M","-9.18%"
"06/12/2022","0.34315","0.35993","0.36521","0.33995","40.84M","-4.54%"
"06/11/2022","0.35947","0.38132","0.38850","0.35577","41.89M","-5.74%"
"06/10/2022","0.38134","0.40017","0.41169","0.37621","54.01M","-4.69%"
"06/09/2022","0.40012","0.40058","0.40409","0.39682","50.17M","-0.13%"
"06/08/2022","0.40065","0.40764","0.41019","0.39475","43.55M","-1.71%"
"06/07/2022","0.40761","0.40261","0.41718","0.38473","66.12M","1.22%"
"06/06/2022","0.40270","0.39532","0.40915","0.39403","33.20M","1.87%"
"06/05/2022","0.39532","0.39252","0.39944","0.38952","17.24M","0.71%"
"06/04/2022","0.39252","0.39034","0.39416","0.38450","18.40M","0.59%"
"06/03/2022","0.39020","0.40527","0.41033","0.38399","51.50M","-3.74%"
"06/02/2022","0.40534","0.39806","0.40702","0.39075","54.24M","1.83%"
"06/01/2022","0.39807","0.42155","0.42637","0.38905","53.40M","-5.57%"
"05/31/2022","0.42155","0.41876","0.43352","0.40678","43.13M","0.72%"
"05/30/2022","0.41852","0.38908","0.41950","0.38675","42.23M","7.57%"
"05/29/2022","0.38908","0.38634","0.39027","0.37964","24.23M","0.71%"
"05/28/2022","0.38633","0.38181","0.38868","0.38068","29.89M","1.18%"
"05/27/2022","0.38181","0.39180","0.40305","0.37642","67.51M","-2.79%"
"05/26/2022","0.39276","0.40607","0.41076","0.37620","62.82M","-3.29%"
"05/25/2022","0.40611","0.40861","0.41333","0.39560","46.58M","-0.64%"
"05/24/2022","0.40874","0.40499","0.41357","0.39094","32.69M","0.99%"
"05/23/2022","0.40472","0.42175","0.42867","0.40039","33.09M","-4.04%"
"05/22/2022","0.42175","0.41440","0.42498","0.41009","28.70M","1.77%"
"05/21/2022","0.41442","0.41029","0.41828","0.40329","21.03M","1.01%"
"05/20/2022","0.41029","0.42038","0.43936","0.40179","40.51M","-2.37%"
"05/19/2022","0.42023","0.40550","0.42426","0.39168","35.91M","3.63%"
"05/18/2022","0.40552","0.43776","0.44238","0.40411","64.45M","-7.37%"
"05/17/2022","0.43779","0.42306","0.44005","0.41759","63.76M","3.59%"
"05/16/2022","0.42263","0.44796","0.44796","0.40886","71.20M","-5.65%"
"05/15/2022","0.44795","0.42619","0.44987","0.41492","41.37M","5.09%"
"05/14/2022","0.42625","0.42272","0.44072","0.39635","69.57M","0.84%"
"05/13/2022","0.42272","0.38578","0.46413","0.38149","107.32M","9.60%"
"05/12/2022","0.38568","0.41748","0.42901","0.33655","255.89M","-7.52%"
"05/11/2022","0.41705","0.51307","0.52240","0.36563","323.55M","-18.75%"
"05/10/2022","0.51327","0.48669","0.53656","0.47274","166.98M","5.30%"
"05/09/2022","0.48745","0.56625","0.57859","0.47329","127.28M","-13.90%"
"05/08/2022","0.56613","0.58083","0.58331","0.55894","51.63M","-2.53%"
"05/07/2022","0.58083","0.60205","0.60445","0.56938","40.69M","-3.52%"
"05/06/2022","0.60205","0.59802","0.61653","0.58775","61.25M","0.67%"
"05/05/2022","0.59802","0.64594","0.65711","0.58924","66.65M","-7.42%"
"05/04/2022","0.64594","0.60476","0.64990","0.60408","53.68M","6.80%"
"05/03/2022","0.60479","0.61443","0.62781","0.59617","26.55M","-1.55%"
"05/02/2022","0.61431","0.60696","0.63058","0.59846","32.33M","1.21%"
"05/01/2022","0.60696","0.58452","0.61245","0.57662","33.37M","3.83%"
